date,state,parlimen,dun,sex,age,ethnicity,population
2024-01-01,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,7.3
2024-01-01,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,7.2
2020-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,overall,28.0
2020-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,citizen,27.4
2020-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,noncitizen,0.6
2020-01-01,Perlis,P.002 Kangar,N.06 Bintong,female,overall,overall,14.2
2020-01-01,Perlis,P.002 Kangar,N.06 Bintong,male,overall,overall,13.8
2021-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,overall,28.3
2021-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,citizen,overall,27.6
2021-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,noncitizen,overall,0.7
2021-01-01,Perlis,P.002 Kangar,N.06 Bintong,female,overall,overall,14.3
2021-01-01,Perlis,P.002 Kangar,N.06 Bintong,male,overall,overall,13.9
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,overall,28.5
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,citizen,overall,27.7
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,noncitizen,overall,0.8
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,female,overall,overall,14.5
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,male,overall,overall,14.0
2023-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,overall,28.8
2023-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,citizen,overall,27.9
2023-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,noncitizen,overall,0.9
2023-01-01,Perlis,P.002 Kangar,N.06 Bintong,female,overall,overall,14.6
2023-01-01,Perlis,P.002 Kangar,N.06 Bintong,male,overall,overall,14.2
2024-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,overall,overall,29.2
2024-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,citizen,overall,28.0
2024-01-01,Perlis,P.002 Kangar,N.06 Bintong,both,noncitizen,overall,1.1
2024-01-01,Perlis,P.002 Kangar,N.06 Bintong,female,overall,overall,14.8
2024-01-01,Perlis,P.002 Kangar,N.06 Bintong,male,overall,overall,14.3
2020-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,overall,20.3
2020-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,citizen,19.7
2020-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,noncitizen,0.6
2020-01-01,Perlis,P.002 Kangar,N.07 Sena,female,overall,overall,10.3
2020-01-01,Perlis,P.002 Kangar,N.07 Sena,male,overall,overall,10.0
2021-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,overall,20.5
2021-01-01,Perlis,P.002 Kangar,N.07 Sena,both,citizen,overall,19.8
2021-01-01,Perlis,P.002 Kangar,N.07 Sena,both,noncitizen,overall,0.7
2021-01-01,Perlis,P.002 Kangar,N.07 Sena,female,overall,overall,10.4
2021-01-01,Perlis,P.002 Kangar,N.07 Sena,male,overall,overall,10.1
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,overall,20.7
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,both,citizen,overall,19.9
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,both,noncitizen,overall,0.8
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,female,overall,overall,10.5
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,male,overall,overall,10.2
2023-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,overall,20.9
2023-01-01,Perlis,P.002 Kangar,N.07 Sena,both,citizen,overall,19.9
2023-01-01,Perlis,P.002 Kangar,N.07 Sena,both,noncitizen,overall,1.0
2023-01-01,Perlis,P.002 Kangar,N.07 Sena,female,overall,overall,10.6
2023-01-01,Perlis,P.002 Kangar,N.07 Sena,male,overall,overall,10.3
2024-01-01,Perlis,P.002 Kangar,N.07 Sena,both,overall,overall,21.2
2024-01-01,Perlis,P.002 Kangar,N.07 Sena,both,citizen,overall,20.0
2024-01-01,Perlis,P.002 Kangar,N.07 Sena,both,noncitizen,overall,1.2
2024-01-01,Perlis,P.002 Kangar,N.07 Sena,female,overall,overall,10.8
2024-01-01,Perlis,P.002 Kangar,N.07 Sena,male,overall,overall,10.4
2020-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,overall,16.4
2020-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,citizen,16.3
2020-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,noncitizen,0.2
2020-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,female,overall,overall,8.3
2020-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,male,overall,overall,8.1
2021-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,overall,16.6
2021-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,citizen,overall,16.4
2021-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,noncitizen,overall,0.2
2021-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,female,overall,overall,8.4
2021-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,male,overall,overall,8.2
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,overall,16.7
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,citizen,overall,16.5
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,noncitizen,overall,0.2
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,female,overall,overall,8.5
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,male,overall,overall,8.2
2023-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,overall,16.9
2023-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,citizen,overall,16.6
2023-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,noncitizen,overall,0.3
2023-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,female,overall,overall,8.6
2023-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,male,overall,overall,8.3
2024-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,overall,overall,17.1
2024-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,citizen,overall,16.8
2024-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,both,noncitizen,overall,0.3
