date,state,parlimen,sex,age,ethnicity,population
2022-01-01,Kedah,P.013 Sik,both,citizen,overall,66.7
2022-01-01,Kedah,P.013 Sik,both,noncitizen,overall,2.0
2022-01-01,Kedah,P.013 Sik,both,overall,overall,68.6
2022-01-01,Kedah,P.013 Sik,female,overall,overall,33.6
2022-01-01,Kedah,P.013 Sik,male,overall,overall,35.0
2023-01-01,Kedah,P.013 Sik,both,citizen,overall,67.4
2023-01-01,Kedah,P.013 Sik,both,noncitizen,overall,2.1
2023-01-01,Kedah,P.013 Sik,both,overall,overall,69.5
2023-01-01,Kedah,P.013 Sik,female,overall,overall,34.0
2023-01-01,Kedah,P.013 Sik,male,overall,overall,35.5
2024-01-01,Kedah,P.013 Sik,both,citizen,overall,68.0
2024-01-01,Kedah,P.013 Sik,both,noncitizen,overall,2.4
2024-01-01,Kedah,P.013 Sik,both,overall,overall,70.4
2024-01-01,Kedah,P.013 Sik,female,overall,overall,34.4
2024-01-01,Kedah,P.013 Sik,male,overall,overall,35.9
2020-01-01,Kedah,P.014 Merbok,both,overall,overall,216.4
2020-01-01,Kedah,P.014 Merbok,both,overall,citizen,204.8
2020-01-01,Kedah,P.014 Merbok,both,overall,noncitizen,11.5
2020-01-01,Kedah,P.014 Merbok,female,overall,overall,105.6
2020-01-01,Kedah,P.014 Merbok,male,overall,overall,110.7
2021-01-01,Kedah,P.014 Merbok,both,citizen,overall,207.4
2021-01-01,Kedah,P.014 Merbok,both,noncitizen,overall,10.9
2021-01-01,Kedah,P.014 Merbok,both,overall,overall,218.4
2021-01-01,Kedah,P.014 Merbok,female,overall,overall,106.8
2021-01-01,Kedah,P.014 Merbok,male,overall,overall,111.6
2022-01-01,Kedah,P.014 Merbok,both,citizen,overall,208.5
2022-01-01,Kedah,P.014 Merbok,both,noncitizen,overall,11.0
2022-01-01,Kedah,P.014 Merbok,both,overall,overall,219.6
2022-01-01,Kedah,P.014 Merbok,female,overall,overall,107.4
2022-01-01,Kedah,P.014 Merbok,male,overall,overall,112.2
2023-01-01,Kedah,P.014 Merbok,both,citizen,overall,209.9
2023-01-01,Kedah,P.014 Merbok,both,noncitizen,overall,12.3
2023-01-01,Kedah,P.014 Merbok,both,overall,overall,222.2
2023-01-01,Kedah,P.014 Merbok,female,overall,overall,108.6
2023-01-01,Kedah,P.014 Merbok,male,overall,overall,113.7
2024-01-01,Kedah,P.014 Merbok,both,citizen,overall,210.8
2024-01-01,Kedah,P.014 Merbok,both,noncitizen,overall,14.2
2024-01-01,Kedah,P.014 Merbok,both,overall,overall,225.1
2024-01-01,Kedah,P.014 Merbok,female,overall,overall,109.8
2024-01-01,Kedah,P.014 Merbok,male,overall,overall,115.3
2020-01-01,Kedah,P.015 Sungai Petani,both,overall,overall,275.4
2020-01-01,Kedah,P.015 Sungai Petani,both,overall,citizen,252.7
2020-01-01,Kedah,P.015 Sungai Petani,both,overall,noncitizen,22.7
2020-01-01,Kedah,P.015 Sungai Petani,female,overall,overall,132.6
2020-01-01,Kedah,P.015 Sungai Petani,male,overall,overall,142.8
2021-01-01,Kedah,P.015 Sungai Petani,both,citizen,overall,256.4
2021-01-01,Kedah,P.015 Sungai Petani,both,noncitizen,overall,21.6
2021-01-01,Kedah,P.015 Sungai Petani,both,overall,overall,278.0
