state,date,age_group,fertility_rate
Kedah,2024-01-01,40-44,20.0
Kedah,2024-01-01,45-49,1.0
Kedah,2024-01-01,tfr,1.8
Kelantan,2001-01-01,15-19,15.0
Kelantan,2001-01-01,20-24,140.0
Kelantan,2001-01-01,25-29,342.0
Kelantan,2001-01-01,30-34,231.0
Kelantan,2001-01-01,35-39,160.0
Kelantan,2001-01-01,40-44,75.0
Kelantan,2001-01-01,45-49,10.0
Kelantan,2001-01-01,tfr,4.87
Kelantan,2002-01-01,15-19,14.0
Kelantan,2002-01-01,20-24,118.0
Kelantan,2002-01-01,25-29,311.0
Kelantan,2002-01-01,30-34,238.0
Kelantan,2002-01-01,35-39,153.0
Kelantan,2002-01-01,40-44,75.0
Kelantan,2002-01-01,45-49,9.0
Kelantan,2002-01-01,tfr,4.59
Kelantan,2003-01-01,15-19,14.0
Kelantan,2003-01-01,20-24,108.0
Kelantan,2003-01-01,25-29,281.0
Kelantan,2003-01-01,30-34,234.0
Kelantan,2003-01-01,35-39,141.0
Kelantan,2003-01-01,40-44,63.0
Kelantan,2003-01-01,45-49,8.0
Kelantan,2003-01-01,tfr,4.24
Kelantan,2004-01-01,15-19,14.0
Kelantan,2004-01-01,20-24,101.0
Kelantan,2004-01-01,25-29,254.0
Kelantan,2004-01-01,30-34,231.0
Kelantan,2004-01-01,35-39,140.0
Kelantan,2004-01-01,40-44,61.0
Kelantan,2004-01-01,45-49,7.0
Kelantan,2004-01-01,tfr,4.04
Kelantan,2005-01-01,15-19,14.0
Kelantan,2005-01-01,20-24,97.0
Kelantan,2005-01-01,25-29,232.0
Kelantan,2005-01-01,30-34,222.0
Kelantan,2005-01-01,35-39,133.0
Kelantan,2005-01-01,40-44,56.0
Kelantan,2005-01-01,45-49,7.0
Kelantan,2005-01-01,tfr,3.8
Kelantan,2006-01-01,15-19,13.0
Kelantan,2006-01-01,20-24,98.0
Kelantan,2006-01-01,25-29,225.0
Kelantan,2006-01-01,30-34,206.0
Kelantan,2006-01-01,35-39,126.0
Kelantan,2006-01-01,40-44,55.0
Kelantan,2006-01-01,45-49,6.0
Kelantan,2006-01-01,tfr,3.64
Kelantan,2007-01-01,15-19,15.0
Kelantan,2007-01-01,20-24,100.0
Kelantan,2007-01-01,25-29,215.0
Kelantan,2007-01-01,30-34,197.0
Kelantan,2007-01-01,35-39,131.0
Kelantan,2007-01-01,40-44,50.0
Kelantan,2007-01-01,45-49,6.0
Kelantan,2007-01-01,tfr,3.57
Kelantan,2008-01-01,15-19,16.0
Kelantan,2008-01-01,20-24,106.0
Kelantan,2008-01-01,25-29,223.0
Kelantan,2008-01-01,30-34,199.0
