date,state,district,sex,abs,rate
2021-01-01,Kelantan,Machang,both,1960,17.360496014171833
2021-01-01,Kelantan,Machang,female,939,16.531690140845072
2021-01-01,Kelantan,Machang,male,1021,18.19964349376114
2021-01-01,Kelantan,Pasir Mas,both,4335,18.693402328589908
2021-01-01,Kelantan,Pasir Mas,female,2048,17.88646288209607
2021-01-01,Kelantan,Pasir Mas,male,2287,19.463829787234044
2021-01-01,Kelantan,Pasir Puteh,both,3084,22.445414847161572
2021-01-01,Kelantan,Pasir Puteh,female,1499,21.63059163059163
2021-01-01,Kelantan,Pasir Puteh,male,1585,23.274596182085173
2021-01-01,Kelantan,Tanah Merah,both,2775,18.208661417322833
2021-01-01,Kelantan,Tanah Merah,female,1329,17.93522267206478
2021-01-01,Kelantan,Tanah Merah,male,1446,18.467432950191572
2021-01-01,Kelantan,Tumpat,both,3598,19.80187121629059
2021-01-01,Kelantan,Tumpat,female,1744,19.0185387131952
2021-01-01,Kelantan,Tumpat,male,1854,20.57713651498335
2022-01-01,Kelantan,Bachok,both,3138,19.527069072806473
2022-01-01,Kelantan,Bachok,female,1521,18.391777509068923
2022-01-01,Kelantan,Bachok,male,1617,20.73076923076923
2022-01-01,Kelantan,Gua Musang,both,1773,17.048076923076923
2022-01-01,Kelantan,Gua Musang,female,859,17.784679089026916
2022-01-01,Kelantan,Gua Musang,male,914,16.409335727109514
2022-01-01,Kelantan,Jeli,both,900,16.0427807486631
2022-01-01,Kelantan,Jeli,female,444,15.857142857142858
2022-01-01,Kelantan,Jeli,male,456,16.285714285714285
2022-01-01,Kelantan,Kecil Lojing,both,226,20.925925925925924
2022-01-01,Kelantan,Kecil Lojing,female,115,22.115384615384613
2022-01-01,Kelantan,Kecil Lojing,male,111,19.821428571428573
2022-01-01,Kelantan,Kota Bharu,both,10229,18.024669603524227
2022-01-01,Kelantan,Kota Bharu,female,4941,17.39788732394366
2022-01-01,Kelantan,Kota Bharu,male,5288,18.652557319223988
2022-01-01,Kelantan,Kuala Krai,both,2070,19.327731092436977
2022-01-01,Kelantan,Kuala Krai,female,999,18.778195488721803
2022-01-01,Kelantan,Kuala Krai,male,1071,19.907063197026023
2022-01-01,Kelantan,Machang,both,1956,17.172958735733097
2022-01-01,Kelantan,Machang,female,915,15.968586387434556
2022-01-01,Kelantan,Machang,male,1041,18.392226148409893
2022-01-01,Kelantan,Pasir Mas,both,4328,18.479931682322803
2022-01-01,Kelantan,Pasir Mas,female,2082,18.025974025974023
2022-01-01,Kelantan,Pasir Mas,male,2246,18.937605396290053
2022-01-01,Kelantan,Pasir Puteh,both,2895,20.842332613390926
2022-01-01,Kelantan,Pasir Puteh,female,1383,19.72895863052782
2022-01-01,Kelantan,Pasir Puteh,male,1512,21.94484760522496
2022-01-01,Kelantan,Tanah Merah,both,2676,17.410540013012362
2022-01-01,Kelantan,Tanah Merah,female,1306,17.459893048128343
2022-01-01,Kelantan,Tanah Merah,male,1370,17.385786802030456
2022-01-01,Kelantan,Tumpat,both,3617,19.68971148611867
2022-01-01,Kelantan,Tumpat,female,1779,19.19093851132686
2022-01-01,Kelantan,Tumpat,male,1838,20.197802197802197
2023-01-01,Kelantan,Bachok,both,3432,21.04230533415083
2023-01-01,Kelantan,Bachok,female,1673,19.916666666666668
2023-01-01,Kelantan,Bachok,male,1759,22.237673830594183
2023-01-01,Kelantan,Gua Musang,both,1897,17.69589552238806
2023-01-01,Kelantan,Gua Musang,female,938,18.987854251012145
2023-01-01,Kelantan,Gua Musang,male,959,16.591695501730104
2023-01-01,Kelantan,Jeli,both,955,16.783831282952548
2023-01-01,Kelantan,Jeli,female,479,16.80701754385965
2023-01-01,Kelantan,Jeli,male,476,16.70175438596491
2023-01-01,Kelantan,Kecil Lojing,both,239,21.53153153153153
2023-01-01,Kelantan,Kecil Lojing,female,124,22.96296296296296
2023-01-01,Kelantan,Kecil Lojing,male,115,20.175438596491222
2023-01-01,Kelantan,Kota Bharu,both,10674,18.537686696769715
2023-01-01,Kelantan,Kota Bharu,female,5116,17.76388888888889
2023-01-01,Kelantan,Kota Bharu,male,5558,19.312022237665044
2023-01-01,Kelantan,Kuala Krai,both,2287,20.90493601462523
2023-01-01,Kelantan,Kuala Krai,female,1077,19.834254143646408
2023-01-01,Kelantan,Kuala Krai,male,1210,21.960072595281307
2023-01-01,Kelantan,Machang,both,2102,18.230702515177796
2023-01-01,Kelantan,Machang,female,1004,17.340241796200345
2023-01-01,Kelantan,Machang,male,1098,19.162303664921467
2023-01-01,Kelantan,Pasir Mas,both,4375,18.42105263157895
