state,date,sex,ethnicity,abs
Johor,2016-01-01,male,other_citizen,99.0
Johor,2016-01-01,both,other_noncitizen,487.0
Johor,2016-01-01,female,other_noncitizen,182.0
Johor,2016-01-01,male,other_noncitizen,305.0
Johor,2016-01-01,both,overall,19924.0
Johor,2016-01-01,female,overall,8250.0
Johor,2016-01-01,male,overall,11674.0
Johor,2017-01-01,both,bumi_malay,11547.0
Johor,2017-01-01,female,bumi_malay,4911.0
Johor,2017-01-01,male,bumi_malay,6636.0
Johor,2017-01-01,both,bumi_other,193.0
Johor,2017-01-01,female,bumi_other,69.0
Johor,2017-01-01,male,bumi_other,124.0
Johor,2017-01-01,both,chinese,6641.0
Johor,2017-01-01,female,chinese,2717.0
Johor,2017-01-01,male,chinese,3924.0
Johor,2017-01-01,both,indian,1658.0
Johor,2017-01-01,female,indian,658.0
Johor,2017-01-01,male,indian,1000.0
Johor,2017-01-01,both,other_citizen,143.0
Johor,2017-01-01,female,other_citizen,46.0
Johor,2017-01-01,male,other_citizen,97.0
Johor,2017-01-01,both,other_noncitizen,480.0
Johor,2017-01-01,female,other_noncitizen,185.0
Johor,2017-01-01,male,other_noncitizen,295.0
Johor,2017-01-01,both,overall,20662.0
Johor,2017-01-01,female,overall,8586.0
Johor,2017-01-01,male,overall,12076.0
Johor,2018-01-01,both,bumi_malay,11812.0
Johor,2018-01-01,female,bumi_malay,5027.0
Johor,2018-01-01,male,bumi_malay,6785.0
Johor,2018-01-01,both,bumi_other,173.0
Johor,2018-01-01,female,bumi_other,64.0
Johor,2018-01-01,male,bumi_other,109.0
Johor,2018-01-01,both,chinese,6773.0
Johor,2018-01-01,female,chinese,2750.0
Johor,2018-01-01,male,chinese,4023.0
Johor,2018-01-01,both,indian,1708.0
Johor,2018-01-01,female,indian,652.0
Johor,2018-01-01,male,indian,1056.0
Johor,2018-01-01,both,other_citizen,153.0
Johor,2018-01-01,female,other_citizen,46.0
Johor,2018-01-01,male,other_citizen,107.0
Johor,2018-01-01,both,other_noncitizen,498.0
Johor,2018-01-01,female,other_noncitizen,194.0
Johor,2018-01-01,male,other_noncitizen,304.0
Johor,2018-01-01,both,overall,21117.0
Johor,2018-01-01,female,overall,8733.0
Johor,2018-01-01,male,overall,12384.0
Johor,2019-01-01,both,bumi_malay,12162.0
Johor,2019-01-01,female,bumi_malay,5234.0
Johor,2019-01-01,male,bumi_malay,6928.0
Johor,2019-01-01,both,bumi_other,189.0
Johor,2019-01-01,female,bumi_other,77.0
Johor,2019-01-01,male,bumi_other,112.0
Johor,2019-01-01,both,chinese,6967.0
Johor,2019-01-01,female,chinese,2817.0
Johor,2019-01-01,male,chinese,4150.0
Johor,2019-01-01,both,indian,1835.0
Johor,2019-01-01,female,indian,685.0
Johor,2019-01-01,male,indian,1150.0
Johor,2019-01-01,both,other_citizen,159.0
Johor,2019-01-01,female,other_citizen,51.0
Johor,2019-01-01,male,other_citizen,108.0
Johor,2019-01-01,both,other_noncitizen,487.0
Johor,2019-01-01,female,other_noncitizen,175.0
Johor,2019-01-01,male,other_noncitizen,312.0
Johor,2019-01-01,both,overall,21799.0
Johor,2019-01-01,female,overall,9039.0
Johor,2019-01-01,male,overall,12760.0
Johor,2020-01-01,both,bumi_malay,11476.0
Johor,2020-01-01,female,bumi_malay,4831.0
Johor,2020-01-01,male,bumi_malay,6645.0
Johor,2020-01-01,both,bumi_other,230.0
Johor,2020-01-01,female,bumi_other,91.0
Johor,2020-01-01,male,bumi_other,139.0
Johor,2020-01-01,both,chinese,6802.0
Johor,2020-01-01,female,chinese,2744.0
Johor,2020-01-01,male,chinese,4058.0
Johor,2020-01-01,both,indian,1574.0
Johor,2020-01-01,female,indian,584.0
Johor,2020-01-01,male,indian,990.0
Johor,2020-01-01,both,other_citizen,146.0
Johor,2020-01-01,female,other_citizen,52.0
Johor,2020-01-01,male,other_citizen,94.0
Johor,2020-01-01,both,other_noncitizen,418.0
Johor,2020-01-01,female,other_noncitizen,150.0
Johor,2020-01-01,male,other_noncitizen,268.0
Johor,2020-01-01,both,overall,20646.0
Johor,2020-01-01,female,overall,8452.0
Johor,2020-01-01,male,overall,12194.0
Johor,2021-01-01,both,bumi_malay,15290.0
Johor,2021-01-01,female,bumi_malay,6736.0
Johor,2021-01-01,male,bumi_malay,8554.0
Johor,2021-01-01,both,bumi_other,330.0
Johor,2021-01-01,female,bumi_other,141.0
Johor,2021-01-01,male,bumi_other,189.0
Johor,2021-01-01,both,chinese,8095.0
Johor,2021-01-01,female,chinese,3215.0
Johor,2021-01-01,male,chinese,4880.0
Johor,2021-01-01,both,indian,2059.0
Johor,2021-01-01,female,indian,879.0
Johor,2021-01-01,male,indian,1180.0
Johor,2021-01-01,both,other_citizen,212.0
Johor,2021-01-01,female,other_citizen,71.0
Johor,2021-01-01,male,other_citizen,141.0
Johor,2021-01-01,both,other_noncitizen,965.0
Johor,2021-01-01,female,other_noncitizen,360.0
Johor,2021-01-01,male,other_noncitizen,605.0
Johor,2021-01-01,both,overall,26951.0
Johor,2021-01-01,female,overall,11402.0
Johor,2021-01-01,male,overall,15549.0
Johor,2022-01-01,both,bumi_malay,14317.0
Johor,2022-01-01,female,bumi_malay,6296.0
Johor,2022-01-01,male,bumi_malay,8021.0
Johor,2022-01-01,both,bumi_other,257.0
Johor,2022-01-01,female,bumi_other,106.0
Johor,2022-01-01,male,bumi_other,151.0
Johor,2022-01-01,both,chinese,8090.0
Johor,2022-01-01,female,chinese,3290.0
Johor,2022-01-01,male,chinese,4800.0
Johor,2022-01-01,both,indian,1912.0
Johor,2022-01-01,female,indian,752.0
Johor,2022-01-01,male,indian,1160.0
Johor,2022-01-01,both,other_citizen,185.0
Johor,2022-01-01,female,other_citizen,72.0
Johor,2022-01-01,male,other_citizen,113.0
Johor,2022-01-01,both,other_noncitizen,544.0
Johor,2022-01-01,female,other_noncitizen,171.0
Johor,2022-01-01,male,other_noncitizen,373.0
Johor,2022-01-01,both,overall,25305.0
Johor,2022-01-01,female,overall,10687.0
Johor,2022-01-01,male,overall,14618.0
Johor,2023-01-01,both,bumi_malay,13563.0
Johor,2023-01-01,female,bumi_malay,5909.0
Johor,2023-01-01,male,bumi_malay,7654.0
Johor,2023-01-01,both,bumi_other,224.0
Johor,2023-01-01,female,bumi_other,84.0
Johor,2023-01-01,male,bumi_other,140.0
Johor,2023-01-01,both,chinese,8182.0
Johor,2023-01-01,female,chinese,3424.0
Johor,2023-01-01,male,chinese,4758.0
Johor,2023-01-01,both,indian,1989.0
Johor,2023-01-01,female,indian,794.0
Johor,2023-01-01,male,indian,1195.0
Johor,2023-01-01,both,other_citizen,
Johor,2023-01-01,female,other_citizen,
Johor,2023-01-01,male,other_citizen,
Johor,2023-01-01,both,other_noncitizen,
Johor,2023-01-01,female,other_noncitizen,
Johor,2023-01-01,male,other_noncitizen,
Johor,2023-01-01,both,overall,24705.0
Johor,2023-01-01,female,overall,10505.0
Johor,2023-01-01,male,overall,14200.0
Johor,2024-01-01,both,bumi_malay,13868.0
Johor,2024-01-01,female,bumi_malay,6094.0
Johor,2024-01-01,male,bumi_malay,7774.0
Johor,2024-01-01,both,bumi_other,251.0
Johor,2024-01-01,female,bumi_other,99.0
Johor,2024-01-01,male,bumi_other,152.0
Johor,2024-01-01,both,chinese,8190.0
Johor,2024-01-01,female,chinese,3274.0
Johor,2024-01-01,male,chinese,4916.0
Johor,2024-01-01,both,indian,1977.0
Johor,2024-01-01,female,indian,817.0
Johor,2024-01-01,male,indian,1160.0
Johor,2024-01-01,both,other_citizen,
Johor,2024-01-01,female,other_citizen,
Johor,2024-01-01,male,other_citizen,
