date,percentile,variable,income
2024-01-01,74,maximum,10984.0
2024-01-01,75,maximum,11160.0
2024-01-01,76,maximum,11377.0
2024-01-01,77,maximum,11628.0
2024-01-01,78,maximum,12048.0
2024-01-01,79,maximum,12400.0
2024-01-01,80,maximum,12681.0
2024-01-01,81,maximum,12901.0
2024-01-01,82,maximum,13216.0
2024-01-01,83,maximum,13510.0
2024-01-01,84,maximum,13792.0
2024-01-01,85,maximum,14112.0
2024-01-01,86,maximum,14464.0
2024-01-01,87,maximum,14937.0
2024-01-01,88,maximum,15424.0
2024-01-01,89,maximum,15910.0
2024-01-01,90,maximum,16516.0
2024-01-01,91,maximum,17151.0
2024-01-01,92,maximum,17938.0
2024-01-01,93,maximum,18882.0
2024-01-01,94,maximum,19934.0
2024-01-01,95,maximum,21425.0
2024-01-01,96,maximum,23411.0
2024-01-01,97,maximum,26040.0
2024-01-01,98,maximum,30549.0
2024-01-01,99,maximum,40194.0
2024-01-01,100,maximum,
2022-01-01,1,mean,1112.0
2022-01-01,2,mean,1431.0
2022-01-01,3,mean,1639.0
2022-01-01,4,mean,1800.0
2022-01-01,5,mean,1946.0
2022-01-01,6,mean,2077.0
2022-01-01,7,mean,2189.0
2022-01-01,8,mean,2300.0
2022-01-01,9,mean,2408.0
2022-01-01,10,mean,2512.0
2022-01-01,11,mean,2608.0
2022-01-01,12,mean,2702.0
2022-01-01,13,mean,2795.0
2022-01-01,14,mean,2895.0
2022-01-01,15,mean,2990.0
2022-01-01,16,mean,3074.0
2022-01-01,17,mean,3159.0
2022-01-01,18,mean,3239.0
2022-01-01,19,mean,3319.0
2022-01-01,20,mean,3399.0
2022-01-01,21,mean,3482.0
2022-01-01,22,mean,3564.0
2022-01-01,23,mean,3652.0
2022-01-01,24,mean,3738.0
2022-01-01,25,mean,3828.0
2022-01-01,26,mean,3920.0
2022-01-01,27,mean,4009.0
2022-01-01,28,mean,4096.0
2022-01-01,29,mean,4182.0
2022-01-01,30,mean,4269.0
2022-01-01,31,mean,4357.0
2022-01-01,32,mean,4444.0
2022-01-01,33,mean,4535.0
2022-01-01,34,mean,4629.0
2022-01-01,35,mean,4719.0
2022-01-01,36,mean,4815.0
2022-01-01,37,mean,4911.0
2022-01-01,38,mean,5002.0
2022-01-01,39,mean,5099.0
2022-01-01,40,mean,5201.0
2022-01-01,41,mean,5303.0
2022-01-01,42,mean,5404.0
2022-01-01,43,mean,5512.0
2022-01-01,44,mean,5617.0
2022-01-01,45,mean,5717.0
2022-01-01,46,mean,5822.0
2022-01-01,47,mean,5935.0
2022-01-01,48,mean,6054.0
2022-01-01,49,mean,6172.0
2022-01-01,50,mean,6286.0
2022-01-01,51,mean,6396.0
2022-01-01,52,mean,6517.0
2022-01-01,53,mean,6645.0
2022-01-01,54,mean,6777.0
2022-01-01,55,mean,6908.0
2022-01-01,56,mean,7048.0
2022-01-01,57,mean,7185.0
2022-01-01,58,mean,7324.0
2022-01-01,59,mean,7468.0
2022-01-01,60,mean,7621.0
2022-01-01,61,mean,7772.0
2022-01-01,62,mean,7932.0
2022-01-01,63,mean,8094.0
2022-01-01,64,mean,8261.0
2022-01-01,65,mean,8431.0
2022-01-01,66,mean,8608.0
2022-01-01,67,mean,8786.0
2022-01-01,68,mean,8965.0
2022-01-01,69,mean,9157.0
2022-01-01,70,mean,9353.0
2022-01-01,71,mean,9556.0
2022-01-01,72,mean,9771.0
2022-01-01,73,mean,9986.0
2022-01-01,74,mean,10205.0
2022-01-01,75,mean,10438.0
2022-01-01,76,mean,10662.0
2022-01-01,77,mean,10906.0
2022-01-01,78,mean,11155.0
2022-01-01,79,mean,11412.0
2022-01-01,80,mean,11680.0
2022-01-01,81,mean,11963.0
2022-01-01,82,mean,12253.0
2022-01-01,83,mean,12557.0
2022-01-01,84,mean,12921.0
2022-01-01,85,mean,13295.0
2022-01-01,86,mean,13661.0
2022-01-01,87,mean,14073.0
2022-01-01,88,mean,14529.0
2022-01-01,89,mean,15019.0
2022-01-01,90,mean,15583.0
2022-01-01,91,mean,16191.0
2022-01-01,92,mean,16925.0
2022-01-01,93,mean,17785.0
2022-01-01,94,mean,18856.0
2022-01-01,95,mean,20108.0
