state,district,date,poverty_absolute,poverty_relative
Sarawak,Tatau,2024-01-01,2.6,6.5
Sarawak,Tebedu,2019-01-01,38.6,40.3
Sarawak,Tebedu,2022-01-01,26.9,44.1
Sarawak,Tebedu,2024-01-01,25.8,46.2
Sarawak,Telang Usan,2019-01-01,13.6,23.7
Sarawak,Telang Usan,2022-01-01,6.0,20.5
Sarawak,Telang Usan,2024-01-01,1.3,10.0
Sarawak,Lubok antu,2024-01-01,13.0,23.2
Sarawak,Gedong,2024-01-01,16.7,35.7
Sarawak,Sebuyau,2024-01-01,21.4,53.6
Sarawak,Siburan,2024-01-01,4.2,16.7
Sarawak,Pantu,2024-01-01,10.9,60.0
Sarawak,Lingga,2024-01-01,6.3,45.8
Selangor,Gombak,2019-01-01,0.4,14.5
Selangor,Gombak,2022-01-01,2.4,13.8
Selangor,Gombak,2024-01-01,2.1,9.8
Selangor,Klang,2019-01-01,1.7,16.6
Selangor,Klang,2022-01-01,2.2,20.3
Selangor,Klang,2024-01-01,1.0,12.0
Selangor,Kuala Langat,2019-01-01,2.4,19.7
Selangor,Kuala Langat,2022-01-01,0.3,9.4
Selangor,Kuala Langat,2024-01-01,0.3,2.2
Selangor,Kuala Selangor,2019-01-01,3.5,30.4
Selangor,Kuala Selangor,2022-01-01,2.8,25.2
Selangor,Kuala Selangor,2024-01-01,1.8,21.0
Selangor,Petaling,2019-01-01,1.1,14.4
Selangor,Petaling,2022-01-01,1.6,14.9
Selangor,Petaling,2024-01-01,1.0,10.8
Selangor,Sabak Bernam,2019-01-01,4.7,46.2
Selangor,Sabak Bernam,2022-01-01,5.3,42.6
Selangor,Sabak Bernam,2024-01-01,2.7,25.7
Selangor,Sepang,2019-01-01,0.7,7.9
Selangor,Sepang,2022-01-01,0.0,3.4
Selangor,Sepang,2024-01-01,0.1,1.1
Selangor,Ulu Langat,2019-01-01,0.6,10.5
Selangor,Ulu Langat,2022-01-01,0.5,7.0
Selangor,Ulu Langat,2024-01-01,0.1,0.3
Selangor,Ulu Selangor,2019-01-01,1.5,26.6
Selangor,Ulu Selangor,2022-01-01,1.7,23.9
Selangor,Ulu Selangor,2024-01-01,0.4,16.7
Terengganu,Besut,2019-01-01,10.1,9.5
Terengganu,Besut,2022-01-01,12.7,11.3
Terengganu,Besut,2024-01-01,13.1,14.2
Terengganu,Dungun,2019-01-01,5.1,6.1
Terengganu,Dungun,2022-01-01,2.2,2.4
Terengganu,Dungun,2024-01-01,4.4,12.4
Terengganu,Hulu Terengganu,2019-01-01,7.9,19.7
Terengganu,Hulu Terengganu,2022-01-01,10.8,16.2
Terengganu,Kemaman,2019-01-01,4.6,5.6
Terengganu,Kemaman,2022-01-01,4.1,5.8
Terengganu,Kemaman,2024-01-01,3.5,6.7
Terengganu,Kuala Nerus,2019-01-01,5.4,7.9
Terengganu,Kuala Nerus,2022-01-01,1.9,3.5
Terengganu,Kuala Nerus,2024-01-01,1.6,2.4
Terengganu,Kuala Terengganu,2019-01-01,4.4,4.8
Terengganu,Kuala Terengganu,2022-01-01,5.9,5.0
Terengganu,Kuala Terengganu,2024-01-01,4.2,9.4
Terengganu,Marang,2019-01-01,8.2,12.0
Terengganu,Marang,2022-01-01,9.0,11.8
Terengganu,Marang,2024-01-01,7.3,13.9
Terengganu,Setiu,2019-01-01,6.5,11.1
Terengganu,Setiu,2022-01-01,7.5,6.0
Terengganu,Setiu,2024-01-01,4.7,7.7
Terengganu,Hulu,2024-01-01,6.6,14.8
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2019-01-01,0.2,10.6
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2022-01-01,1.4,12.7
W.P. Labuan,W.P. Labuan,2019-01-01,3.1,12.9
W.P. Labuan,W.P. Labuan,2022-01-01,2.5,7.0
W.P. Putrajaya,W.P. Putrajaya,2019-01-01,0.4,12.1
W.P. Putrajaya,W.P. Putrajaya,2022-01-01,0.1,11.4
