date,state,type,staff
2017-01-01,Pahang,doctor,1818
2018-01-01,Pahang,doctor,2159
2019-01-01,Pahang,doctor,2790
2020-01-01,Pahang,doctor,3132
2021-01-01,Pahang,doctor,2967
2022-01-01,Pahang,doctor,2927
2014-01-01,Pahang,nurse,3609
2015-01-01,Pahang,nurse,3857
2016-01-01,Pahang,nurse,4015
2017-01-01,Pahang,nurse,4059
2018-01-01,Pahang,nurse,3997
2019-01-01,Pahang,nurse,4019
2020-01-01,Pahang,nurse,3660
2021-01-01,Pahang,nurse,4260
2022-01-01,Pahang,nurse,4336
2014-01-01,Pahang,nurse_community,1822
2015-01-01,Pahang,nurse_community,1817
2016-01-01,Pahang,nurse_community,1800
2017-01-01,Pahang,nurse_community,1701
2018-01-01,Pahang,nurse_community,1704
2019-01-01,Pahang,nurse_community,1690
2020-01-01,Pahang,nurse_community,1677
2021-01-01,Pahang,nurse_community,1570
2022-01-01,Pahang,nurse_community,1699
2014-01-01,Perak,all,10103
2015-01-01,Perak,all,10569
2016-01-01,Perak,all,10867
2017-01-01,Perak,all,11259
2018-01-01,Perak,all,11422
2019-01-01,Perak,all,11995
2020-01-01,Perak,all,6566
2021-01-01,Perak,all,13130
2022-01-01,Perak,all,13561
2014-01-01,Perak,dentist,285
2015-01-01,Perak,dentist,278
2016-01-01,Perak,dentist,318
2017-01-01,Perak,dentist,420
2018-01-01,Perak,dentist,458
2019-01-01,Perak,dentist,521
2020-01-01,Perak,dentist,548
2021-01-01,Perak,dentist,564
2022-01-01,Perak,dentist,599
2014-01-01,Perak,doctor,2373
2015-01-01,Perak,doctor,2378
2016-01-01,Perak,doctor,2544
2017-01-01,Perak,doctor,2884
2018-01-01,Perak,doctor,3146
2019-01-01,Perak,doctor,3578
2020-01-01,Perak,doctor,3130
2021-01-01,Perak,doctor,4063
2022-01-01,Perak,doctor,4214
2014-01-01,Perak,nurse,5278
2015-01-01,Perak,nurse,5764
2016-01-01,Perak,nurse,5872
2017-01-01,Perak,nurse,5919
2018-01-01,Perak,nurse,5826
2019-01-01,Perak,nurse,5903
2020-01-01,Perak,nurse,981
2021-01-01,Perak,nurse,6685
2022-01-01,Perak,nurse,6782
2014-01-01,Perak,nurse_community,2167
2015-01-01,Perak,nurse_community,2149
2016-01-01,Perak,nurse_community,2133
2017-01-01,Perak,nurse_community,2036
2018-01-01,Perak,nurse_community,1992
2019-01-01,Perak,nurse_community,1993
2020-01-01,Perak,nurse_community,1907
